bevintharaj,🏴🏴🏴 #Lawan
vin_der_pal,@faiqahff @BBCWorld @BuzzFeedWorld @AJEnglish @cnni @CNNPolitics #Lawan hit over 200k tweets in 10 hours
syedaidibb,#Lawan #KerajaanBangsat  https://t.co/PZvR0oUPZ3
ayambakaq,#BenderaHitam BANGKITLAH RAKYAT-RAKYAT SEKALIAN DAN SEDARLAH BAHAWA KERAJAAN KITA GAGAL! #Lawan
nama_90s,@malaysiakini @IsmailSabri60 @MuhyiddinYassin Bila dah #kerajaangagal #kerajaanbodoh #kerajaanbangsat memang gagal bodoh bangsat la dorang ni.. menyusahkan atm nk pasang bukak benda tu.. menyusahkan semua orang.. menyusahkan rakyat !  #Lawan 🏴 #Lawan 🏴 #Lawan 🏴
ayambakaq,#BenderaHitam #BenderaPutih #Lawan ✊✊
haziqzolkiflee,#Lawan tetap #Lawan
bawani_ks,Hanya satu cara #Lawan  https://t.co/UTvsxSkswh
varman_ong,#Lawan
itskemboja,"Selamat pagi, jangan bersedih sebab korang masih lagi berguna daripada menteri Malaysia yang bodoh 🥰  #Lawan"
cheapremebrand,"@SharirShazni Seperti biasa, kena hijack oleh Cytro, reported and algorithm buat ianya hilang... Mcm #DengkiKe #KerajaanGagal.  Kena truskn kembali.. Satu je yg akan kekal xboleh di tukar Cytro. Semangat kita. Terus #Lawan  https://t.co/ZzJT2S5BQX"
cikicomel,King coco sibuk dah sekarang ni dengan bersatu. Apa pun #LawanTetapLawan #Lawan #BenderaHitam
owesemboi,Kerajaan claim mereka Sudah buat bermacam macam dorang tidak gagal.   Result?   Ramai hilang pekerjaan Ramai yang membunuh diri  Kes covid Meningkat 6k berbanding sebelum darurat.  kadar dan supply vaksin yang rendah.   #Lawan
sharirshazni,"Aik, #Lawan dan #BenderaHitam dah tak Trending ka?"
arafahtang,#Lawan #KerajaanBangsat
kammosiwong,Mainstream media too chicken to cover #BenderaHitam They are afraid of raids by PDRM/ MCMC etc. Its a method to suppress free speech! Remember its not seditious; nor is it again any religion or race. #Malaysia #Lawan
tetapbantai,#Lawan  #LawanTetapLawan
farahnatt,selamat pagi #lawan
rsyr_,Morning and don’t forget your 🏴  #lawan
kammosiwong,Kalau ada peluang - sekarang peluang susah nak dapat. Hanya untuk orang kayangan. Kita rakyat biasa. Tak ade jalan; tak ade duit. Miskin. #Malaysia #Lawan
dickheadabu,Boleh ek?. #Lawan  https://t.co/zJOGPgVTwd
aliefakmal1,"A symbol materialize in the form of a black flag, angry citizens and their righteous anger, the rise of of the people voices in the form of #lawan.  History is repeating itself."
imrnishak,#lawan
efanhamza,Selamat pagi. Muhyiddin dan konco-konconya tidak selamat #Lawan
arvinthesky,"Since @PAS dismisses the #WhiteFlagCampaign, do you expect everyone to raise their hands and chant ""in the name of GOD"" to expect the foods and supplies to fall on their lap. Life have tested people enough! Please behave as humanely as possible to the next person. #Lawan"
jiimssss,#Lawan
sit0922,"Other than obesity, kebodohan &amp; keangkuhan do runs in family.  #KerajaanBangsat #KerajaanGagal #lawan"
poji63,…dedulu zaman black metal bebudak muda pakai Tshirt hitam kena tahan/kena momok kemudian warna kuning jadi “taboo” then belon kuning pun kalau boleh masuk lock up now trending #lawan bendera hitam … tak tau laa samada buta warna atau buta hati …  https://t.co/6h2cToiYza
cheeseundrcover,We're not allowed to go out but u guys can.. Eh wth is this?! And u're asking why we #lawan 🏴
dark0will,Alamak takleh brain aku HAHAHAHAHAH #LAWAN 🏴  https://t.co/cWNo3TcPF6
syedaintsoft,#Lawan
aldeenor,#Lawan #KerajaaanZalim dengan #BenderaHitam kerana tidak peduli kesengsaraan rakyat #BenderaPutih...
3da_nash,"@SyedSaddiq THIS. @anwaribrahim has been doing it for years n every time he's succeeded or nearly succeed, someone simply just swooped in n claim victory. I sincerely hope u're not another someone who'd do that. #LAWAN #AnwarForPM - gv ur support openly. Tq.   https://t.co/GLIr4RQQj0"
frdausrazak,"Sebenarnya agenda untuk dapatkan shawl baru shj tu tuan, tapi tak mengapa lawan tetap #Lawan"
jawajohor2,Trending in Kajang?😁 214k #Lawan  https://t.co/1TRz2BYQpV
kevster1268,"""Assume incompetence before conspiracy""-Machiavelli #Lawan #KerajaanGagal #KerajaanBodoh"
syameerafif,#Lawan
rhidaryad,"Mereka pacak bendera di Tempat kediaman mereka sendiri, bendera putih ke bendera hitam ke bendera kelabu asap ke. Apa masalah ? Kacau pandangan mata korang ke #KerajaanGagal ? #rakyatbangkit #bangkit #lawan"
uzumakihagemaru,Apa masalah nak gantung bender hitam. Benda memang betul kerajaan gagal. Sebahagian dari anggota pun ada yang gagal. Menjalankan tugas dengan amanah. Bukti bersepah je kat twitter ni. #Lawan
silencehunter6,#kerjaangagal #KerajaanBodoh #kerajaanbangsat #Lawan #kerajaansial
mulianidalhan,Balances out the lost of words on our gov’s incompetency...seriously can u be even more bodoh everyday? #Lawan
imarrie7,#lawan  https://t.co/8jU2yzMceJ
qizbalqis,"Dia comment mcm ni because i’ve posted the Black Flag picture , lepastu tgk ig dia dah delete gambar sendiri #Rakyatjagarakyat #Lawan  https://t.co/jLVol1FK3I"
myaswad,🏴 #Lawan
aizuddinkhalid,#KerajaanGagal keep on making stupid decisions that jeopardise the live and livelihood of all Malaysians. And because they makan durian ramai2 #lawan
burithhhhhh,"Rakyat Mula Muak , Fuck Politik .  #Politikus  #Lawan #MuhyiddinLetakJawatan  https://t.co/JBAaXVFw9m"
aikram75,Assalammualaikum   Mohon retweet untuk kelangsungan hidup di kala PKPD  Saya nak share yg Penapis Udara Coway ada PROMO sekarang.  Klik Coway Mall link ini terus order Penapis Udara Coway anda   https://t.co/lGSYXEq4pv  #Lawan #BenderaHitam #BenderaPutih  https://t.co/4ARFBdul9e
penasuria,"@SyedSaddiq 4. White flag pun dipoliticise, MB nak save face sanggup tak kasi #RakyatJagaRakyat sbb kami penat dgn #KerajaanBangsat.   Sekian, saya akan teruskan #lawan kerana saya inginkan masa hadapan yang cerah untuk rakyat. it’s up to us, no government is gonna save us."
