username,tweet
bevintharaj, 
vin_der_pal,hit over 200k tweets hours
syedaidibb,
ayambakaq,bangkitlah rakyat rakyat sekalian dan sedarlah bahawa kerajaan kita gagal 
nama_90s,bila dah memang gagal bodoh bangsat dorang menyusahkan atm pasang bukak benda menyusahkan semua orang menyusahkan rakyat   
ayambakaq,✊✊
haziqzolkiflee,tetap 
bawani_ks,hanya satu cara 
itskemboja,selamat pagi jangan bersedih sebab korang masih lagi berguna daripada menteri malaysia yang bodoh  
cheapremebrand,seperti biasa kena hijack oleh cytro reported and algorithm buat ianya hilang mcm kena truskn kembali satu akan kekal xboleh tukar cytro semangat kita terus 
cikicomel,king coco sibuk dah sekarang dengan bersatu apa pun 
owesemboi,kerajaan claim mereka sudah buat bermacam macam dorang tidak gagal result ramai hilang pekerjaan ramai yang membunuh diri kes covid meningkat berbanding sebelum darurat kadar dan supply vaksin yang rendah 
sharirshazni,aik dan dah tak trending 
kammosiwong,mainstream media too chicken cover they are afraid raids pdrm mcmc etc its method suppress free speech remember its not seditious nor again any religion race 
farahnatt,selamat pagi 
rsyr_,morning and don’ forget your  
kammosiwong,kalau ada peluang sekarang peluang susah nak dapat hanya untuk orang kayangan kita rakyat biasa tak ade jalan tak ade duit miskin 
dickheadabu,boleh 
aliefakmal1,symbol materialize the form black flag angry citizens and their righteous anger the rise the people voices the form history repeating itself 
efanhamza,selamat pagi muhyiddin dan konco konconya tidak selamat 
arvinthesky,since dismisses the you expect everyone raise their hands and chant the name god expect the foods and supplies fall their lap life have tested people enough please behave humanely possible the next person 
sit0922,other than obesity kebodohan keangkuhan runs family 
poji63,…dedulu zaman black metal bebudak muda pakai tshirt hitam kena tahan kena momok kemudian warna kuning jadi “taboo” then belon kuning pun kalau boleh masuk lock now trending bendera hitam … tak tau laa samada buta warna atau buta hati … 
cheeseundrcover,not allowed out but guys can wth this and asking why 
dark0will,alamak takleh brain aku hahahahahah  
aldeenor,dengan kerana tidak peduli kesengsaraan rakyat 
3da_nash,this has been doing for years every time succeeded nearly succeed someone simply just swooped claim victory sincerely hope not another someone who that support openly 
frdausrazak,sebenarnya agenda untuk dapatkan shawl baru shj tuan tapi tak mengapa lawan tetap 
jawajohor2,trending kajang  214k 
kevster1268,assume incompetence before conspiracy machiavelli 
rhidaryad,mereka pacak bendera tempat kediaman mereka sendiri bendera putih bendera hitam bendera kelabu asap apa masalah kacau pandangan mata korang 
uzumakihagemaru,apa masalah nak gantung bender hitam benda memang betul kerajaan gagal sebahagian dari anggota pun ada yang gagal menjalankan tugas dengan amanah bukti bersepah kat twitter 
mulianidalhan,balances out the lost words our gov’ incompetency seriously can even more bodoh everyday 
qizbalqis,dia comment mcm because ’ posted the black flag picture lepastu tgk dia dah delete gambar sendiri 
aizuddinkhalid,keep making stupid decisions that jeopardise the live and livelihood all malaysians and because they makan durian ramai2 
burithhhhhh,rakyat mula muak fuck politik 
aikram75,assalammualaikum mohon retweet untuk kelangsungan hidup kala pkpd saya nak share penapis udara coway ada promo sekarang klik coway mall link ini terus order penapis udara coway anda 
penasuria,white flag pun dipoliticise nak save face sanggup tak kasi sbb kami penat dgn sekian saya akan teruskan kerana saya inginkan masa hadapan yang cerah untuk rakyat ’ government gonna save 
lavs_unfiltered,you’ student malaysia and you choose remain apolitical— congratulations you’ just screwed yourself this incompetent govt stole our youth education for months and counting while not alleviating the struggle having pay our fees full 
fahimazzam,fuyo waking timeline semua bendera hitam 
hewoijah,selain ahli politik yang tak boleh join angkat ️ dan angkat  tanda ada satu golongan tak boleh join golongan yang salahkan rakyat satu ketika dahulu kecuali mereka yang insaf yeah come join 
penasuria,kerana ahli ahli politik yang tidak berperikemanusiaan yang tidak mendahului rakyat dan menggunakan agama islam sebagai alat politik sistem yang tidak transparent lagi lagi program vaksin yang lambat dan tidak cukup effektif 
drsyarizan,apa lah lagi rancang nak buat rancangan jijik lagi utk terus berkuasa ehh babi korg dah tua lah babi bila bila masa mampus baik kau taubat dah2 lah mkn duit haram bangsat parlimen tkut pula nak msuk bodoh 
badboy2662,bayangkan uel pernah kena block masuk kawasan kerana ada pihak atasan sakit hati this why kita kena 
abdialhaadi,let’ gooooo onigashima 
niwasini_k,know ’ not easy trusted you for more than year but what’ the result 5434 people died due the infection not counting those who lost their life struggling survive this pandemic end the emergency proclamation and open the parliament 
sarfabian,good morning starting new dawn and 
lanchiaop,ganti kerajaan ada apa guna kalau ketuanan melayu dikekalkan same tea different pot you will still suffer from mismanagement dun believe wait and see 
hziqfkr,guna muka sendiri nak boleh aku pon dah cukup hitam dah belum lagi hati aku hahahahaahaaha
lanchiaop,kerajaan ketuanan melayu check and balances multi racial society naik bendera warna apa pun tak guna you deserve the govt you voted for 
l1li_nya,its time take back our country  
lanchiaop,kerajaan sekarang adalah hasil ketuanan melayu semua kena dikuasai melayu konon result majority mati dan suffering are melayu happy now 
amatselamat,balik kampung dan start tulis buku back diri sendiri cetak kulit tebal tau kuikui 
hazgus,sendiri bagi arahan pasang sendiri nak jadi hero arahkan buka 
farisaizat,you don necessarily need atomic bombs destroy nation politicians who value their pockets than the life citizens always that every day maybe 
