token,count
penat,153
azmin,7
tahnya,1
malaysia,60
menuju,1
kehancuran,1
menteri,77
cetek,2
akal,7
hanya,18
mementingkan,1
duit,25
kuasa,31
need,26
change,5
better,20
one,11
generasi,6
hadapan,4
tunggu,7
vaksin,16
februari,1
sehingga,2
kini,1
masih,35
double,56
standard,54
terlampau,5
jelas,4
dinafikan,1
orang,44
atasan,4
mewah,1
seronok,2
sedangkan,5
rakyatnya,2
merana,10
cameron,1
highland,1
comel,1
sistem,6
kesihatan,4
bakal,2
runtuh,1
enough,16
old,5
people,38
corruption,5
kegagalan,2
kerajaan,134
mengawal,2
pendemik,1
unfunctional,1
government,43
freedom,1
liberty,2
biol2,1
cuba,3
manipulate,2
facts,1
padahal,4
rakyat,200
tau,13
kite,1
perlukan,9
parliment,1
sebagai,8
negara,50
demokrasi,8
mereka,38
amanah,4
tired,17
politik,27
pernah,5
mature,2
jalan,5
keluar,9
daripada,4
pandemik,11
samar,1
jumlah,1
swab,1
test,2
kurang,3
lama,13
capai,2
target,1
sampai,46
bila,24
pkp,36
terpaksa,6
catu,2
makanan,5
sbab,1
xnk,1
berada,2
bwh,1
pemerintahan,2
bodoh2,1
skrg,19
babi,9
tengah,2
susah,22
dia,23
pulak,16
pesta,5
makan,20
durian,9
pergi,7
bercuti,2
dekat,8
paris,1
lahhh,1
haa,1
baru,12
recent,2
guna,18
nie,3
gagal,18
cirit,7
mandulkan,1
bacul,1
belum,5
keabsahan,1
mandat,1
tuntutan,1
perdana,1
sekarang,30
handsome,1
peduli,4
politiking,1
sudah2,2
bullshit,3
fed,1
love,1
seeing,4
country,26
really,5
disappoints,1
many,14
menter,2
hilang,23
arah,2
mabuk,1
keputusan,8
ngarut,1
benda,13
simple,5
handle,6
sendiri,30
plan,9
implement,1
evaluate,1
bangga,1
puji,1
merepek,1
patut,3
dipegang,3
golongan,6
mampu,9
bertanggungjawab,5
teruk,11
teramat,1
difikirkan,1
diputar,1
belitkan,1
demi,10
nama,3
pentingkan,6
diri,23
penting,6
selesa,2
takut,5
jatuh,4
sebabtu,1
asyik,4
berbelit,1
suara,12
tahu,12
malu,5
kawan,12
ahli,21
keluarga,6
terkesan,4
disebabkan,3
covid,50
mungkin,3
vaccine,7
sudah,17
diberi,4
lebih,22
awal,2
masalah,8
kewangan,1
kritikal,1
berlaku,3
lemah,5
nyawa,8
fcked,2
‍♀️,2
bro,5
rasa,21
divalue,1
human,1
cares,3
good,4
results,1
they’,2
right,7
vanished,2
incompetence,10
everyone,3
aged,1
parliament,4
gotta,1
lmao,1
bagaikan,2
hidup,26
dibuai,1
angin,1
jadikan,2
aman,1
harmoni,1
kenapa,10
duduk,14
rumah,22
mental,18
exhausted,5
keadaan,7
takboleh,2
fikir,7
secara,4
betul,11
sikap,4
masing,3
sombong,7
lepas,6
tekak,2
ramai,19
menderita,4
sayang,3
malaysia❤,1
reason,4
tindakan,11
baik,18
bendung,2
penularan,2
dalam,25
masa,33
sama,11
tingkatkan,2
kemajuan,1
ekonomi,9
bukannya,2
sekejap,2
lockdown,24
pkpd,14
nya,3
tulung,1
maka,2
apa2,3
dapat,27
seperti,10
ingin,2
jual,4
kerata,1
bayar,12
puspakom,1
jpj,1
tutup,14
jugak,2
bule,1
call2,1
bank,6
lalui,1
kehidupan,6
kais,2
pagi,4
petang,2
lost,7
income,5
struggle,3
live,1
btw,3
anyone,1
want,26
support,4
business,8
whatsapp,1
kerabu,1
ayam,2
ikot,1
bangang,6
diatasi,1
ambik,6
langkah,3
ambil,6
berpuluh,2
mati,15
punca,10
pendapatan,7
pendidikan,6
terganggu,1
rmai2,1
cadangan,1
pon,11
pengemudi,1
kelihatan,1
sesat,1
jumpa,7
darat,1
mahu,8
tuju,3
menyeluruh,1
mahukan,3
proactive,1
reactive,1
cukup,8
lah,15
ketidaktentuan,1
politics,2
sides,1
would,2
able,1
choose,3
leadership,5
next,3
election,3
member,1
parliaments,1
puts,1
ppl,3
needs,2
first,4
quit,1
blaming,2
comparing,1
remind,1
democratic,2
rights,4
voices,1
heard,1
kecewa,3
berkuasa,3
sekadar,2
memonopoli,1
didedahkan,1
muda,20
memerintah,10
peluang,5
diminta,1
buah,1
fikiran,1
disuara,1
sepatutnya,6
menelaah,1
tiba,4
buta,10
diselamatkan,1
memang,8
terselamat,1
gross,1
kaki,3
belit,1
menipu,1
tua,22
bodoh,35
patuh,2
sop,32
sungguh2,1
depa,7
duk,4
kesana,2
sini,6
fun2,1
pastu,9
kes,40
turun2,3
pemuda,1
tertekan,4
anak,17
mempunyai,1
strugle,1
staff,2
sewa,4
keliru,1
kenyataan,1
dikeluarkan,1
hari,15
berlalu,1
negeri,4
sabah,18
dikemaskini,1
umum,1
sebelum,1
perkembangan,1
terbaharu,1
bayangkan,3
seorang,4
mall,1
hubungi,1
bertanya,1
“kita,1
hour,1
pukul,1
10pm,1
7pm,1
”,2
