nuru1ain_,@SyedSaddiq Penat dengan Azmin.
imber,@SyedSaddiq Tahnya.
fatihrijal_,@SyedSaddiq Sebab Malaysia dah macam menuju kehancuran dengan menteri-menteri yang cetek akal hanya mementingkan duit dan kuasa 😭😭
dygalanis,"@SyedSaddiq Because we need to change Malaysia, to be a better one, better than this one."
admimrn,@SyedSaddiq Untuk generasi hadapan.
hxfizuddin_,"@SyedSaddiq saya dah penat. penat tunggu vaksin dari februari sehingga kini, masih tiada apa-apa. penat dengan double standard yang terlampau jelas tapi masih dinafikan. penat tengok orang atasan mewah seronok-seronok sedangkan rakyatnya merana."
ceoofheartless,@SyedSaddiq @nanashittt Sbb Cameron highland comel😭
patbinotong,@SyedSaddiq Untuk generasi hadapan! #ForTheFuture!
qul_yaq_mad,@SyedSaddiq @aniskhalidi SEBAB SISTEM KESIHATAN KITA BAKAL RUNTUH!!!
dayangsuhana_,@SyedSaddiq We had enough with old people and corruption.
__elzee,@SyedSaddiq Kegagalan kerajaan mengawal pendemik. #KerajaanBangsat #kerajaangagal
farapening,@SyedSaddiq unfunctional government.
siewwaileong1,@SyedSaddiq Freedom and Liberty.
edtaufiq,"@SyedSaddiq DOUBLE STANDARD!  MENTERI SEMUA BIOL2!  CUBA MANIPULATE FACTS PADAHAL RAKYAT SEMUA DAH TAU 1+1=2, Not 11"
jujuawujan,@SyedSaddiq kite perlukan parliment sebagai negara demokrasi
amni_lemon,@SyedSaddiq Kerana mereka tidak amanah
diogenes_penis,@SyedSaddiq Just tired
anwarzainnudin,@SyedSaddiq sebab politik di malaysia tak pernah mature
mrfirdausjailan,"@SyedSaddiq Jalan keluar daripada pandemik masih samar. Jumlah swab test kurang, vaksin masih lama nak capai target. Sampai bila nak PKP? Rakyat sampai ada yang terpaksa catu makanan."
inaraaa_17,@SyedSaddiq Sbab xnk berada bwh pemerintahan org yg bodoh2 mcm skrg ni
epankhai,"@SyedSaddiq Sebab menteri babi, rakyat tengah susah dia boleh pulak buat pesta makan durian la, pergi bercuti dekat paris lahhh haa apa lagi ni baru recent"
badrulhanif_,"@SyedSaddiq #Lawan guna nie, boleh ke?   https://t.co/vlruki9mhu"
demokrasitotal,@SyedSaddiq gagal cirit double standard mandulkan demokrasi bacul masih belum ada keabsahan bukan mandat rakyat #Lawan 3 Tuntutan #MuhyiddinLetakJawatan  #BukaParlimen  #TamatDarurat
ezzwanmardzi,@SyedSaddiq Sebab perdana menteri sekarang tak handsome
amni_lemon,@SyedSaddiq Kerana mereka tidak peduli rakyat
hmmm_nnnnn,@SyedSaddiq politiking tak sudah2..
haisayaadriana,@SyedSaddiq Penat dengan semua bullshit kerajaan. Fed up...
n1kee3,"@SyedSaddiq We love Malaysia, seeing our country how it is now, really disappoints many."
nyahkaucorona,"@SyedSaddiq sebab menter malaysia semua dah hilang arah. Mabuk. Keputusan ngarut. Benda simple tak boleh handle. Sendiri plan, sendiri implement, sendiri Evaluate. Sendiri bangga dan puji. Tak ke merepek? Kerajaan apa ni? Kerajaan patut dipegang golongan yg mampu dan bertanggungjawab!!!!"
